ABW	Aruba	Arubaans	Arubaan
AFG	Afghanistan	Afghaans	Afghaan
AGO	Angola	Angolees	Angolees
AIA	Anguilla	Anguillaans	Anguillaan
ALB	Albanië	Albanees	Albanees
AND	Andorra	Andorraans	Andorraan
ANT	Nederlandse Antillen	Nederlands-Antilliaans	Nederlands-Antilliaan
ARG	Argentinië	Argentijns	Argentijn
ARM	Armenië	Armeens	Armeniër
ASM	Amerikaans-Samoa	Amerikaans-Samoaans	Amerikaans-Samoaan
ATA	Antarctica	Antarctisch	Antarctiër
AUS	Australië	Australisch	Australiër
AUT	Oostenrijk	Oostenrijks	Oostenrijker
AZE	Azerbeidzjan	Azerbeidzjaans	Azerbeidzjaan
BDI	Burundi	Burundees	Burundees
BEL	België	Belgisch	Belg
BEN	Benin	Benins	Beniner
BES	Cariben	Caribisch	Carieb
BFA	Burkina Faso	Burkinees	Burkinees
BGD	Bangladesh	Bengalees	Bengalees
BGR	Bulgarije	Bulgaars	Bulgaar
BHR	Bahrein	Bahreins	Bahreiner
BHS	Bahama's	Bahamaans	Bahamaan
BIH	Bosnië-Herzegovina	Bosnisch	Bosniër
BLZ	Belize	Belizaans	Belizaan
BOL	Bolivia	Boliviaans	Boliviaan
BRA	Brazilië	Braziliaans	Braziliaan
BRB	Barbados	Barbadaans	Barbadaan
BRN	Brunei	Bruneis	Bruneier
BTN	Bhutan	Bhutaans	Bhutaan
BWA	Botswana	Botswaans	Botswaan
CAF	Centraal-Afrikaanse Republiek	Centraal-Afrikaans	Centraal-Afrikaan
CAN	Canada	Canadees	Canadees
CHE	Zwitserland	Zwitsers	Zwitser
CHL	Chili	Chileens	Chileen
CHN	China	Chinees	Chinees
CIV	Ivoorkust	Ivoriaans	Ivoriaan
CMR	Kameroen	Kameroens	Kameroener
COD	Congo	Congolees	Congolees
COG	Congo	Congolees	Congolees
COK	Cookeilanden	Cookeilands	Cookeilander
COL	Colombia	Colombiaans	Colombiaan
COM	Comoren	Comorees	Comorees
CPV	Kaapverdië	Kaapverdisch	Kaapverdiër
CRI	Costa Rica	Costaricaans	Costaricaan
CUB	Cuba	Cubaans	Cubaan
CUW	Curaçao	Curaçaos	Curaçaoër
CXR	Christmaseiland	Christmaseilands	Christmaseilander
CYP	Cyprus	Cyprisch	Cyprioot
CZE	Tsjechië	Tsjechisch	Tsjech
DDR	Duitsland	Duits	Duitser
DEU	Duitsland	Duits	Duitser
DJI	Djibouti	Djiboutiaans	Djiboutiaan
DMA	Dominica	Dominicaans	Dominicaan
DNK	Denemarken	Deens	Deen
DOM	Dominicaanse Republiek	Dominicaans	Dominicaan
DZA	Algerije	Algerijns	Algerijn
ECU	Ecuador	Ecuadoraans	Ecuadoraan
EGY	Egypte	Egyptisch	Egyptenaar
ERI	Eritrea	Eritrees	Eritreeër
ESP	Spanje	Spaans	Spanjaard
EST	Estland	Estlands	Estlander
ETH	Ethiopië	Ethiopisch	Ethiopiër
FIN	Finland	Fins	Fin
FJI	Fiji	Fijisch	Fijiër
FLK	Falklandeilanden	Falklandeilands	Falklandeilander
FRA	Frankrijk	Frans	Fransman
FRO	Faeröer	Faeröers	Faeröerder
GAB	Gabon	Gabonees	Gabonees
GBR	Engeland	Engels	Engelsman
GEO	Georgië	Georgisch	Georgiër
GHA	Ghana	Ghanees	Ghanees
GIB	Gibraltar	Gibraltarees	Gibraltarees
GIN	Guinee	Guinees	Guineeër
GLP	Guadeloupe	Guadeloups	Guadelouper
GMB	Gambia	Gambiaans	Gambiaan
GNB	Guinee-Bissau	Guinee-Bissaus	Guinee-Bissauer
GNQ	Equatoriaal-Guinea	Equatoriaal-Guinees	Equatoriaal-Guineeër
GRC	Griekenland	Grieks	Griek
GRD	Grenada	Grenadaans	Grenadaan
GRL	Groenland	Groenlands	Groenlander
GTM	Guatemala	Guatemalaans	Guatemalaan
GUF	Frans-Guyana	Frans-Guyaans	Frans-Guyaan
GUM	Guam	Guamees	Guamees
GUY	Guyana	Guyaans	Guyaan
HKG	Hongkong	Hongkongs	Hongkonger
HND	Honduras	Hondurees	Hondurees
HRV	Kroatië	Kroatisch	Kroaat
HTI	Haïti	Haïtiaans	Haïtiaan
HUN	Hongarije	Hongaars	Hongaar-
IDN	Indonesië	Indonesisch	Indonesiër
IND	India	Indiaas	Indiër
IRL	Ierland	Iers	Ier
IRN	Iran	Iraans	Iraniër
IRQ	Irak	Iraaks	Irakees
ISL	IJsland	IJslands	IJslander
ISR	Israël	Israëlisch	Israëliër
ITA	Italië	Italiaans	Italiaan
JAM	Jamaica	Jamaicaans	Jamaicaan
JOR	Jordanië	Jordaans	Jordaniër
JPN	Japan	Japans	Japanner
KAZ	Kazachstan	Kazachs	Kazach
KEN	Kenia	Keniaans	Keniaan
KHM	Cambodja	Cambodjaans	Cambodjaan
KIR	Kiribati	Kiribatisch	Kiribatiër
KOR Zuid-Korea	Zuid-Koreaans	Zuid-Koreaan
KWT	Koeweit	Koeweits	Koeweiter
LAO	Laos	Laotiaans	Laotiaan
LBN	Libanon	Libanees	Libanees
LBR	Liberia	Liberiaans	Liberiaan
LBY	Libië	Libisch	Libiër
LCA	Saint Lucia	Saint-Luciaans	Saint-Luciaan
LIE	Liechtenstein	Liechtensteins	Liechtensteiner
LKA	Sri Lanka	Srilankaans	Srilankaan
LSO	Lesotho	Lesothaans	Lesothaan
LTU	Litouwen	Litouws	Litouwer
LUX	Luxemburg	Luxemburgs	Luxemburger
LVA	Letland	Letlands	Let
MAC	Macau	Macaus	Macauer
MAF	Sint-Maarten	Sint-Maartens	Sint-Maartenaar
MAR	Marokko	Marokkaans	Marokkaan
MCO	Monaco	Monegaskisch	Monegask
MDA	Moldavië	Moldavisch	Moldaviër
MDG	Madagaskar	Malagassisch	Malagassiër
MDV	Maldiven	Maldivisch	Maldiviër
MEX	Mexico	Mexicaans	Mexicaan
MHL	Marshalleilanden	Marshalleilands	Marshalleilander
MKD	Macedonië	Macedonisch	Macedoniër
MLI	Mali	Malinees	Malinees
MLT	Malta	Maltees	Maltees
MMR	Myanmar	Myanmarees	Myanmarees
MNE	Montenegro	Montenegrijns	Montenegrijn
MNG	Mongolië	Mongolisch	Mongoliër
MNP	Noordelijke Marianen	Mariaans	Mariaan
MOZ	Mozambique	Mozambikaans	Mozambikaan
MRT	Mauritanië	Mauritaans	Mauritaniër
MSR	Montserrat	Montserrataans	Montserrataan
MTQ	Martinique	Martinikaans	Martinikaan
MUS	Mauritius	Mauritiaans	Mauritiaan
MWI	Malawi	Malawisch	Malawiër
MYS	Maleisië	Maleisisch	Maleisiër
NAM	Namibië	Namibisch	Namibiër
NCL	Nieuw-Caledonië	Nieuw-Caledonisch	Nieuw-Caledoniër
NER	Niger	Nigerees	Nigerees
NFK	Norfolk	Norfolkeilands	Norfolkeilander
NGA	Nigeria	Nigeriaans	Nigeriaan
NIC	Nicaragua	Nicaraguaans	Nicaraguaan
NLD	Nederland	Nederlands	Nederlander
NOR	Noorwegen	Noors	Noor
NPL	Nepal	Nepalees	Nepalees
NRU	Nauru	Nauruaans	Nauruaan
NZL	Nieuw-Zeeland	Nieuw-Zeelands	Nieuw-Zeelander
OMN	Oman	Omaans	Omani
PAK	Pakistan	Pakistaans	Pakistaan
PAN	Panama	Panamees	Panamees
PCN	Pitcairneilanden	Pitcairneilands	Pitcairneilander
PER	Peru	Peruaans	Peruaan
PHL	Filipijnen	Filipijns	Filipijn
POL	Polen	Pools	Pool
PRI	Puerto Rico	Puertoricaans	Puertoricaan
PRK	Korea	Noord-Koreaans	Noord-Koreaan
PRT	Portugal	Portugees	Portugees
PRY	Paraguay	Paraguayaans	Paraguayaan
QAT	Qatar	Qatarees	Qatarees
REU	Réunion	Réunions	–
ROU	Roemenië	Roemeens	Roemeen
RUS	Rusland	Russisch	Rus
RWA	Rwanda	Rwandees	Rwandees
SAU	Saoedi-Arabië	Arabisch	Arabier
SCG	Montenegro	Montenegrijns	Montenegrijn
SDN	Soedan	Soedanees	Soedanees
SEN	Senegal	Senegalees	Senegalees
SGP	Singapore	Singaporees	Singaporees
SLE	Sierra Leone	Sierraleoons	Sierraleoner
SLV	El Salvador	Salvadoraans	Salvadoraan
SMR	San Marino	Sanmarinees	Sanmarinees
SOM	Somalië	Somalisch	Somaliër
SRB	Servië	Servisch	Serviër
SSD	Soedan	Soedanees	Soedanees
STP	Sao Tomé	Santomees	Santomees
SUN	Rusland	Russisch	Rus
SUR	Suriname	Surinaams	Surinamer
SVK	Slowakije	Slowaaks	Slowaak
SVN	Slovenië	Sloveens	Sloveen
SWE	Zweden	Zweeds	Zweed
SWZ	Swaziland	Swazisch	Swaziër
SXM	Sint-Maarten	Sint-Maartens	Sint-Maartenaar
SYC	Seychellen	Seychels	Seycheller
SYR	Syrië	Syrisch	Syriër
TCD	Tsjaad	Tsjadisch	Tsjadiër
TGO	Togo	Togolees	Togolees
THA	Thailand	Thais	Thailander
TJK	Tadzjikistan	Tadzjieks	Tadzjiek
TKL	Tokelau-eilanden	Tokelau-eilands	Tokelau-eilander
TKM	Turkmenistan	Turkmeens	Turkmeen
TUN	Tunesië	Tunesisch	Tunesiër
TUR	Turkije	Turks	Turk
TUV	Tuvalu	Tuvaluaans	Tuvaluaan
TWN	Taiwan	Taiwanees	Taiwanees
TZA	Tanzania	Tanzaniaans	Tanzaniaan
UGA	Oeganda	Oegandees	Oegandees
UKR	Oekraïne	Oekraïens	Oekraïner
URY	Uruguay	Uruguayaans	Uruguayaan
USA	Amerika	Amerikaans	Amerikaan
UZB	Oezbekistan	Oezbeeks	Oezbeek
VAT	Vaticaanstad	Vaticaans	–
VEN	Venezuela	Venezolaans	Venezolaan
VNM	Vietnam	Vietnamees	Vietnamees
VUT	Vanuatu	Vanuatuaans	Vanuatuaan
YEM	Jemen	Jemenitisch	Jemeniet
YUG	Joegoslavië	Joegoslavisch	Joegoslaviër
ZAF	Zuid-Afrika	Zuid-Afrikaans	Zuid-Afrikaan
ZMB	Zambia	Zambiaans	Zambiaan
ZWE	Zimbabwe	Zimbabwaans	Zimbabwaan
